"Comment","Designator","Footprint","LCSC Part #"
"100n","C1,C3,C5,C111,C113,C112,C114,C115,C116,C1301,C1302,C1303,C1304,C1411,C1412,C1413,C1414,C501,C601,C701,C801,C503,C603,C703,C803,C201,C301,C401,C203,C303,C403,C901,C1001,C1101,C1201,C903,C1003,C1103,C1203","C_0603_1608Metric","C14663"
"47u","C8,C10,C11,C9","C_1206_3216Metric","C96123"
"10u","C101,C103,C102,C104,C105,C106","C_0603_1608Metric","C19702"
"10n","C1305,C1306","C_0603_1608Metric","C57112"
"10u","C1401,C1402,C1403,C1404,C602,C702,C802,C502,C202,C302,C402,C1102,C1002,C902,C1202","C_0805_2012Metric","C15850"
"green","D1408,D1407,D1414,D1413,D1415,D1416,D1412,D1411,D1410,D1409,D1406,D1405,D1404,D1403,D1402,D1401,D808,D807,D806,D805,D708,D707,D706,D705,D508,D507,D506,D505,D605,D606,D607,D608,D408,D407,D406,D405,D308,D307,D306,D305,D205,D206,D207,D208,D1208,D1207,D1206,D1205,D1108,D1107,D1106,D1105,D908,D907,D906,D905,D1005,D1006,D1007,D1008","LED_0805_2012Metric","C2297"
"yellow","D1420,D1419,D1418,D1417,D1421,D1422,D1423,D1424,D804,D803,D704,D703,D504,D503,D603,D604,D404,D403,D304,D303,D203,D204,D1204,D1203,D1104,D1103,D904,D903,D1003,D1004","LED_0805_2012Metric","C2296"
"red","D1425,D1426,D1427,D1428,D1429,D1430,D1431,D1432,D802,D801,D702,D701,D502,D501,D601,D602,D402,D401,D302,D301,D201,D202,D1202,D1201,D1102,D1101,D902,D901,D1001,D1002","LED_0805_2012Metric","C84256"
"2N7002","Q1","SOT-23","C8545"
"470R","R1,R2,R101,R102,R103,R104,R105,R106,R1401,R1402,R1403,R1404,R801,R701,R601,R501,R401,R301,R201,R204,R1201,R1101,R1001,R901","R_0603_1608Metric","C23179"
"100k","R3,R4,R5,R7","R_0603_1608Metric","C25803"
"1k","R1301,R1302,R1303,R1304,R502,R602,R702,R802,R202,R302,R402,R902,R1002,R1102,R1202","R_0603_1608Metric","C21190"
"10k","R1311,R1312,R1313,R1315,R1316,R1317,R1318,R1314,R8,R6,R603,R703,R803,R503,R203,R303,R403,R1003,R1103,R1203,R903","R_0603_1608Metric","C25804"
"74HC14","U1","SOIC-14_3.9x8.7mm_P1.27mm","C5605"
"74HC165","U3,U5","SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"TLC5916IDR","U4,U7,U102,U103,U104,U105,U106,U101,U1401,U1402,U1403,U1404,U801,U701,U501,U601,U401,U301,U202,U201,U1201,U1101,U901,U1001","SOIC-16_3.9x9.9mm_P1.27mm","C90107"
"CD4051B","U10,U11","SOIC-16_3.9x9.9mm_P1.27mm","C21379"
"MCP3201-BI/SN","U12","SOIC-8_3.9x4.9mm_P1.27mm","C49274"
